TransactionID,Date,ProductID,CustomerID,StaffID,Quantity,StoreLocation,PaymentType,PromotionApplied,Weather,Temperature,StaffPerformanceRating,CustomerFeedback,DeliveryTime_min,OrderType,DayOfWeek,TotalSales
0,2023-01-01 00:00:00,0,0,0,2,South,Cash,True,Rainy,20.654913930695127,Poor,Neutral,30,In Store,Sunday,25.064608298859607
1,2023-01-01 01:00:00,1,1,1,1,South,Cash,False,Rainy,23.54949697205013,Average,Positive,33,In Store,Sunday,7.083069895947755
2,2023-01-01 02:00:00,2,2,2,5,North,Cash,True,Rainy,27.154342182681738,Excellent,Unknown,43,Phone Order,Sunday,33.68032050090291
3,2023-01-01 03:00:00,3,3,3,2,North,Cash,False,Cloudy,20.13748325275725,Poor,Positive,32,Online Order,Sunday,14.629646958492382
4,2023-01-01 04:00:00,4,4,4,1,East,Credit Card,True,Cloudy,23.02098654190831,Good,Neutral,58,In Store,Sunday,7.577727219906418
5,2023-01-01 05:00:00,5,5,5,2,West,Cash,True,Rainy,27.154342182681738,Poor,Neutral,30,Phone Order,Sunday,29.136312779909016
6,2023-01-01 06:00:00,6,6,6,3,North,Credit Card,False,Cloudy,29.201027697832565,Excellent,Unknown,15,In Store,Sunday,48.34415626235603
7,2023-01-01 07:00:00,7,7,7,5,West,Online,False,Sunny,27.154342182681738,Average,Positive,16,Online Order,Sunday,64.74936421948141
8,2023-01-01 08:00:00,8,8,8,4,East,Cash,True,Rainy,27.154342182681738,Poor,Neutral,29,Phone Order,Sunday,69.74106395272946
9,2023-01-01 09:00:00,9,9,9,2,West,Credit Card,False,Rainy,20.42287010670833,Average,Neutral,53,In Store,Sunday,39.737896802009
10,2023-01-01 10:00:00,10,10,10,3,South,Online,False,Cloudy,27.154342182681738,Good,Neutral,42,In Store,Sunday,51.90056831037102
11,2023-01-01 11:00:00,11,11,11,4,West,Online,False,Rainy,33.22228729383366,Poor,Positive,15,In Store,Sunday,61.69294242055755
12,2023-01-01 12:00:00,12,12,12,4,East,Online,True,Sunny,26.238704814462643,Poor,Positive,19,Online Order,Sunday,51.9495619662288
13,2023-01-01 13:00:00,13,13,13,2,East,Credit Card,False,Cloudy,30.805000537489896,Good,Negative,56,Phone Order,Sunday,23.46559215024125
14,2023-01-01 14:00:00,14,14,14,1,East,Cash,False,Cloudy,33.77427553069937,Good,Positive,36,Phone Order,Sunday,6.265885708168135
15,2023-01-01 15:00:00,15,15,15,2,West,Cash,True,Rainy,26.12060692404225,Good,Neutral,50,Phone Order,Sunday,21.981062451840728
16,2023-01-01 16:00:00,16,16,16,3,South,Credit Card,False,Rainy,22.86916056556096,Excellent,Negative,27,In Store,Sunday,55.956058655196045
17,2023-01-01 17:00:00,17,17,17,4,North,Cash,False,Rainy,27.75676896285379,Excellent,Positive,15,Phone Order,Sunday,68.48135779439318
18,2023-01-01 18:00:00,18,18,18,2,South,Credit Card,True,Cloudy,33.62125530589782,Poor,Positive,30,In Store,Sunday,16.481540950350617
19,2023-01-01 19:00:00,19,19,19,1,West,Cash,True,Rainy,32.06561621206551,Poor,Positive,55,Online Order,Sunday,11.999116770458238
20,2023-01-01 20:00:00,20,20,20,2,West,Online,False,Sunny,20.987447650447308,Poor,Positive,36,Phone Order,Sunday,34.50169607675634
21,2023-01-01 21:00:00,21,21,21,5,North,Cash,False,Rainy,30.38859200116373,Average,Unknown,46,In Store,Sunday,30.053841608914187
22,2023-01-01 22:00:00,22,22,22,1,West,Credit Card,True,Rainy,28.578462836884302,Good,Positive,30,Phone Order,Sunday,10.810888785029888
23,2023-01-01 23:00:00,23,23,23,3,East,Credit Card,True,Cloudy,33.61194764519638,Poor,Neutral,29,Phone Order,Sunday,53.33285565932764
24,2023-01-02 00:00:00,24,24,24,4,East,Online,False,Rainy,21.837221252754457,Good,Neutral,56,Online Order,Monday,44.23387185020742
25,2023-01-02 01:00:00,25,25,25,2,East,Credit Card,False,Cloudy,28.01054169806985,Excellent,Neutral,26,Phone Order,Monday,12.328439341943229
26,2023-01-02 02:00:00,26,26,26,1,East,Cash,False,Rainy,33.191940402678384,Good,Unknown,15,Online Order,Monday,13.138015527983772
27,2023-01-02 03:00:00,27,27,27,5,East,Cash,True,Sunny,26.150356801126144,Average,Unknown,31,Phone Order,Monday,89.63068711887215
28,2023-01-02 04:00:00,28,28,28,1,West,Online,False,Sunny,27.229923765993007,Average,Positive,55,Phone Order,Monday,13.854283144297396
29,2023-01-02 05:00:00,29,29,29,5,North,Credit Card,True,Cloudy,21.05691016500437,Good,Negative,42,Phone Order,Monday,41.970933116067386
30,2023-01-02 06:00:00,30,30,30,3,North,Online,True,Cloudy,24.172154606733663,Average,Positive,21,Phone Order,Monday,32.29078290618216
31,2023-01-02 07:00:00,31,31,31,4,East,Cash,True,Rainy,27.154342182681738,Average,Neutral,23,Phone Order,Monday,47.00740167091593
32,2023-01-02 08:00:00,32,32,32,3,West,Online,False,Rainy,34.1768367311733,Excellent,Positive,36,Phone Order,Monday,41.0669859219237
33,2023-01-02 09:00:00,33,33,33,2,South,Credit Card,False,Sunny,24.240010408117385,Poor,Negative,40,Online Order,Monday,32.78053077257839
34,2023-01-02 10:00:00,34,34,34,1,South,Online,False,Rainy,26.91303102904478,Average,Negative,26,Online Order,Monday,6.483104264609532
35,2023-01-02 11:00:00,35,35,35,5,West,Credit Card,True,Sunny,30.0695663534642,Poor,Positive,21,In Store,Monday,91.72390247631748
36,2023-01-02 12:00:00,36,36,36,5,East,Credit Card,False,Cloudy,27.154342182681738,Good,Positive,29,Phone Order,Monday,25.923227726205667
37,2023-01-02 13:00:00,37,37,37,1,North,Cash,True,Rainy,27.29663580712812,Good,Positive,52,Online Order,Monday,10.550785020113828
38,2023-01-02 14:00:00,38,38,38,1,West,Cash,True,Cloudy,31.078085592138613,Average,Negative,35,Phone Order,Monday,5.411304649589865
39,2023-01-02 15:00:00,39,39,39,2,South,Cash,True,Rainy,33.00282819540599,Good,Neutral,28,Phone Order,Monday,21.789226760358737
40,2023-01-02 16:00:00,40,40,40,3,South,Credit Card,True,Sunny,29.3938891199364,Excellent,Unknown,16,Online Order,Monday,38.66156694929957
41,2023-01-02 17:00:00,41,41,41,5,South,Online,True,Cloudy,30.035802729754217,Average,Neutral,22,Phone Order,Monday,63.37610399361338
42,2023-01-02 18:00:00,42,42,42,2,East,Credit Card,True,Cloudy,27.154342182681738,Average,Negative,59,Online Order,Monday,14.96885041084796
43,2023-01-02 19:00:00,43,43,43,3,South,Cash,False,Rainy,34.186647458695205,Average,Positive,20,Online Order,Monday,44.05832295430256
44,2023-01-02 20:00:00,44,44,44,2,West,Cash,True,Cloudy,21.98861116226724,Good,Positive,51,In Store,Monday,11.343353515140048
45,2023-01-02 21:00:00,45,45,45,5,West,Online,False,Sunny,27.154342182681738,Good,Negative,51,In Store,Monday,82.14301150993116
